Source_nodes	Target_nodes	Score	Source
ACTL6A	RBX1	1	Others
ACTL6A	RPL11	1	Others
ACTL6A	XPC	1	Others
ACTN1	CRKL	1	Others
ACTN1	LPP	1	Others
ACTN1	PIK3CA	1	Others
ACTN1	PIK3R1	1	Others
ACTN1	PIKFYVE	1	Kegg
ACTN1	PIP4K2A	1	Kegg
ACTN1	PIP4K2B	1	Kegg
ACTN1	PIP4K2C	1	Kegg
ACTN1	PIP5K1A	1	Kegg
ACTN1	PIP5K1B	1	Kegg
ACTN1	PIP5K1C	1	Kegg
ACTN1	RHOA	1	Others
ACTN1	STM7	1	Kegg
ACTN2	GRIA1	1	Others
ACTN2	GRIA2	1	Others
ACTN2	GRIA3	1	Others
ACTN2	GRIA4	1	Others
ACTN2	HRAS	1	Others
ACTN2	KRAS	1	Others
ACTN2	NRAS	1	Others
ACTN3	CRKL	1	Others
ACTN3	PIK3CA	1	Others
ACTN3	PIK3R1	1	Others
ACTN3	RHOA	1	Others
ACTN4	PIKFYVE	1	Kegg
ACTN4	PIP4K2A	1	Kegg
ACTN4	PIP4K2B	1	Kegg
ACTN4	PIP4K2C	1	Kegg
ACTN4	PIP5K1A	1	Kegg
ACTN4	PIP5K1B	1	Kegg
ACTN4	PIP5K1C	1	Kegg
ACTN4	STM7	1	Kegg
ACTR10	AR	1	Others
ACTR10	FKBP4	1	Others
ACTR10	HSP90AA1	1	Others
ACTR10	HSP90AB1	1	Others
ACTR10	NR3C1	1	Others
ACTR10	NR3C2	1	Others
ACTR10	PGR	1	Others
ACTR10	PTGES3	1	Others
ACTR1A	AR	1	Others
ACTR1A	FKBP4	1	Others
ACTR1A	HSP90AA1	1	Others
ACTR1A	HSP90AB1	1	Others
ACTR1A	NR3C1	1	Others
ACTR1A	NR3C2	1	Others
ACTR1A	PGR	1	Others
ACTR1A	PTGES3	1	Others
ACTR1A	RAB8A	1	Others
ACTR5	CETN2	1	Others
ACTR5	COPS2	1	Others
ACTR5	COPS3	1	Others
ACTR5	COPS4	1	Others
ACTR5	COPS5	1	Others
ACTR5	COPS6	1	Others
ACTR5	COPS7A	1	Others
ACTR5	COPS7B	1	Others
ACTR5	COPS8	1	Others
ACTR5	CUL4A	1	Others
ACTR5	CUL4B	1	Others
ACTR5	DDB1	1	Others
ACTR5	DDB2	1	Others
ACTR5	GPS1	1	Others
ACTR5	RAD23B	1	Others
ACTR5	RBX1	1	Others
ACTR5	XPC	1	Others
ACTR8	CETN2	1	Others
ACTR8	COPS2	1	Others
ACTR8	COPS3	1	Others
ACTR8	COPS4	1	Others
ACTR8	COPS5	1	Others
ACTR8	COPS6	1	Others
ACTR8	COPS7A	1	Others
ACTR8	COPS7B	1	Others
ACTR8	COPS8	1	Others
ACTR8	CUL4A	1	Others
ACTR8	CUL4B	1	Others
ACTR8	DDB1	1	Others
ACTR8	DDB2	1	Others
ACTR8	GPS1	1	Others
ACTR8	RAD23B	1	Others
ACTR8	RBX1	1	Others
ACTR8	XPC	1	Others
ACVR1	CYBA	1	Kegg
ACVR1	MAPK1	-1	Kegg
ACVR1	MAPK11	-1	Kegg
ACVR1	MAPK12	-1	Kegg
ACVR1	MAPK13	-1	Kegg
ACVR1	MAPK14	-1	Kegg
ACVR1	MAPK3	-1	Kegg
ACVR1	NCF1	1	Kegg
ACVR1	NCF2	1	Kegg
ACVR1	NOX1	1	Kegg
ACVR1	RAC1	1	Kegg
ACVR1	RAC2	1	Kegg
ACVR1	RAC3	1	Kegg
ACVR1	SMAD1	1	Kegg; Others
ACVR1	SMAD2	1	Kegg
ACVR1	SMAD3	1	Kegg
ACVR1	SMAD5	1	Kegg; Others
ACVR1	SMAD9	1	Kegg; Others
ACVR1B	NLK	1	Others
ACVR1B	SMAD2	1	Kegg; Others
ACVR1B	SMAD3	1	Kegg; Others
ACVR1C	NLK	1	Others
ACVR1C	SMAD2	1	Kegg; Others
ACVR1C	SMAD3	1	Kegg; Others
ACVR2A	CYBA	1	Kegg
ACVR2A	NCF1	1	Kegg
ACVR2A	NCF2	1	Kegg
ACVR2A	NOX1	1	Kegg
ACVR2A	RAC1	1	Kegg
ACVR2A	RAC2	1	Kegg
ACVR2A	RAC3	1	Kegg
ACVR2A	SMAD1	1	Others
ACVR2A	SMAD2	1	Kegg; Others
ACVR2A	SMAD3	1	Kegg; Others
ACVR2A	SMAD5	1	Others
ACVR2A	SMAD9	1	Others
ACVR2B	CYBA	1	Kegg
ACVR2B	NCF1	1	Kegg
ACVR2B	NCF2	1	Kegg
ACVR2B	NOX1	1	Kegg
ACVR2B	RAC1	1	Kegg
ACVR2B	RAC2	1	Kegg
ACVR2B	RAC3	1	Kegg
ACVR2B	SMAD1	1	Others
ACVR2B	SMAD2	1	Kegg; Others
ACVR2B	SMAD3	1	Kegg; Others
ACVR2B	SMAD5	1	Others
ACVR2B	SMAD9	1	Others
ACVRL1	CAV1	-1	Others
ACVRL1	PPP1CA	1	Others
ADAM10	APP	1	Others
ADAM10	CDH1	1	Others
ADAM10	CDH2	1	Others
ADAM10	COL17A1	1	Others
ADAM10	CTNNA1	1	Others
ADAM10	CTNNB1	1	Others
ADAM10	CTNND1	1	Others
ADAM10	DLL1	1	Others
ADAM10	DLL3	1	Others
ADAM10	DLL4	1	Others
ADAM10	DTX1	1	Others
ADAM10	EGF	1	Others
ADAM10	FAM20C	1	Others
ADAM10	HBEGF	1	Kegg
ADAM10	JAG1	1	Others
ADAM10	JAG2	1	Others
ADAM10	JUP	1	Others
ADAM10	NOTCH1	1	Others
ADAM10	NOTCH2	1	Others
ADAM10	NOTCH3	1	Others
ADAM10	NOTCH4	1	Others
ADAM10	RPS27A	1	Others
ADAM10	UBA52	1	Others
ADAM10	UBB	1	Others
ADAM10	UBC	1	Others
ADAM12	DLL1	1	Others
ADAM12	EGF	1	Others
ADAM15	CDH1	1	Others
ADAM17	AFDN	1	Others
ADAM17	BDNF	1	Others
ADAM17	BTC	1	Others
ADAM17	CD163	1	Others
ADAM17	CDH1	1	Others
ADAM17	CDH3	1	Others
ADAM17	COL17A1	1	Others
ADAM17	CTNNA1	1	Others
ADAM17	CTNNA2	1	Others
ADAM17	CTNNB1	1	Others
ADAM17	DKFZP434N181	1	Kegg
ADAM17	DLL1	1	Others
ADAM17	EGF	1	Others
ADAM17	ERBB2	1	Others
ADAM17	ERBB4	1	Others
ADAM17	EREG	1	Others
ADAM17	GHR	1	Others
ADAM17	HBEGF	1	Kegg; Others
ADAM17	HER2	1	Others
ADAM17	IL6R	1	Kegg
ADAM17	JUP	1	Others
ADAM17	NECTIN1	1	Others
ADAM17	NGFR	1	Others
ADAM17	NOTCH1	1	Kegg; Others
ADAM17	NOTCH2	1	Kegg; Others
ADAM17	NOTCH3	1	Kegg; Others
ADAM17	NOTCH4	1	Kegg; Others
ADAM17	NRG1	1	Others
ADAM17	NRG2	1	Others
ADAM17	NRG3	1	Others
ADAM17	NRG4	1	Others
ADAM17	POTEKP	1	Others
ADAM17	SHH	1	Others
ADAM17	SORT1	1	Others
ADAM17	TNF	1	Kegg; Others
ADAM17	TNFRSF1B	1	Others
ADAM17	TRAF6	1	Others
ADAM17	ZNF274	1	Others
ADAM9	COL17A1	1	Others
ADAMTS14	COL11A1	1	Others
ADAMTS14	COL11A2	1	Others
ADAMTS14	COL1A1	1	Others
ADAMTS14	COL1A2	1	Others
